Gene	Name	Chr	Strand	Start	End	CRISPRa_C1_Rep1	CRISPRa_C1_Rep2
NSMCE4A	NSMCE4A	10	-	121957088	121975228	54.720013	163.026077
MIR205	MIR205	1	+	209432133	209432242	0.0	0.0
TNFSF8	TNFSF8	9	-	114893343	114930595	0.0	0.0
SNORD115-29	SNORD115-29	15	+	25189414	25249279	0.000000	0.0
CYSLTR2	CYSLTR2	13	+	48653711	48711225	0.0	0.0
CPA3	CPA3	3	+	148865256	148897091	0.0	0.0
PRAG1	PRAG1	8	-	8317736	8381834	0.0	0.0
NPIPB4	NPIPB4	16	-	21834563	21857756	0.663776	0.000000
FAM170B-AS1	FAM170B-AS1	10	+	49121839	49151547	0.0	0.0
MIR3681HG	MIR3681HG	2	+	12007116	12578348	0.0	0.0
BDKRB1	BDKRB1	14	+	96256210	96264763	0.0	0.0
LOC101929224	LOC101929224	1	+	200669507	200694250	0.000000	0.000000
CDRT4	CDRT4	17	-	15436015	15467611	0.000000	0.000000
TARP	TARP	7	-	38259643	38273647	0.0	0.0
GOLGA7	GOLGA7	8	+	41490396	41510980	73.032349	364.236786
EVI5	EVI5	1	-	92508696	92792404	19.604366	0.0
CNTNAP3	CNTNAP3	9	-	39072767	39288303	0.0	0.0
APEX1	APEX1	14	+	20455131	20457772	307.350281	399.859406
FTSJ1	FTSJ1	X	+	48476021	48486364	123.987312	74.931206
PRAMEF1	PRAMEF1	1	+	12791397	12796628	0.0	0.0
CREB3L1	CREB3L1	11	+	46277638	46321422	1.414653	0.0
NR3C2	NR3C2	4	-	148078764	148444698	0.0	0.0
C5orf56	C5orf56	5	+	132410773	132476044	0.0	0.0
NEU2	NEU2	2	+	233032672	233035057	0.0	0.0
TBX15	TBX15	1	-	118883043	118989556	0.0	0.0
FUCA1	FUCA1	1	-	23845081	23868369	38.145927	0.0
KLF12	KLF12	13	-	73686012	74133929	32.288307	2.039507
TSPYL4	TSPYL4	6	-	116249968	116254098	70.374725	17.955246
GPT	GPT	8	+	144504082	144507172	0.0	0.0
LY6E	LY6E	8	+	143018485	143022410	16.065491	134.089767
MSL3P1	MSL3P1	2	-	233865441	233868409	66.407295	0.0
LOC100130987	LOC100130987	11	+	67317839	67391687	0.000000	0.000000
ADAMTSL2	ADAMTSL2	9	+	133532164	133575519	0.0	0.0
SNAR-A8	SNAR-A8	19	+	47923779	47923899	0.000000	0.000000
MIR101-1	MIR101-1	1	-	65058434	65058508	0.000000	0.000000
CHST12	CHST12	7	+	2403560	2448484	18.867769	0.0
LINC01249	LINC01249	2	-	4628218	4656222	0.0	0.0
PDXK	PDXK	21	+	43719097	43762307	10.479083	12.764209
AGAP4	AGAP4	10	-	45825592	45853877	0.211340	1.911482
FAR1	FAR1	11	+	13668668	13732346	52.160412	68.673485
KCNA5	KCNA5	12	+	5043919	5046788	0.0	0.0
MIR1976	MIR1976	1	+	26554542	26554593	0.000000	0.0
FFAR4	FFAR4	10	+	93566665	93590072	0.0	0.0
THSD1	THSD1	13	-	52377168	52406494	0.000000	1.061098
BRINP1	BRINP1	9	-	119166629	119369435	0.0	0.0
LRFN2	LRFN2	6	-	40391634	40587464	0.0	0.0
OR13C4	OR13C4	9	-	104526253	104527209	0.0	0.0
LPP-AS1	LPP-AS1	3	-	188562237	188568666	0.000000	0.0
CALML6	CALML6	1	+	1914827	1917294	0.0	0.0
NDUFAF2	NDUFAF2	5	+	60945129	61153037	62.436817	102.002556
OSTM1-AS1	OSTM1-AS1	6	+	108123633	108159395	0.0	0.0
SNORD71	SNORD71	16	-	71758402	71758487	0.0	0.000000
LOC100287792	LOC100287792	20	+	37676910	37683234	0.0	0.0
HPN	HPN	19	+	35040506	35066573	0.0	0.0
NPNT	NPNT	4	+	105895440	105971671	0.0	0.0
INTS4	INTS4	11	-	77878720	77994671	3.621523	0.000000
WDR6	WDR6	3	+	49007391	49015953	24.414057	21.310186
MED13L	MED13L	12	-	115958576	116277186	13.470230	5.106019
U2AF1L4	U2AF1L4	19	-	35742527	35745442	63.353752	62.676132
MAN1B1	MAN1B1	9	+	137086927	137109187	0.0	0.0
