Gene	Name	Chr	Strand	Start	End	HNT_8A8G_Rep1	HNT_8A8G_Rep2	HBG1_8A8G_Rep1	HBG1_8A8G_Rep2	HBG1_WT
EBNA1BP2	EBNA1BP2	1	-	43164174	43172570	175.765228	265.122467	157.171371	183.810699	204.696045
ZNF84	ZNF84	12	+	133037286	133063304	4.227985	4.914918	4.350619	4.097581	4.698971
DNAJA3	DNAJA3	16	+	4425805	4456774	194.476837	212.954620	222.954926	221.472687	259.978302
OR10J5	OR10J5	1	-	159535078	159536007	0.0	0.0	0.0	0.0	0.0
MIR4492	MIR4492	11	+	118910708	118910787	0.000000	0.000000	0.000000	0.000000	0.000000
SNORD141A	SNORD141A	6	-	73518245	73518438	0.278596	0.393973	0.153230	0.128676	0.054697
MRGPRE	MRGPRE	11	-	3227653	3232386	0.0	0.0	0.000000	0.0	0.0
RFX7	RFX7	15	-	56090533	56243285	20.725653	23.123005	26.130959	27.994959	24.158434
H2BFXP	H2BFXP	X	+	103975924	103978357	1.913271	1.952939	0.517891	2.065150	1.417559
RET	RET	10	+	43077027	43130349	2.047878	1.805839	1.673276	1.220847	1.169477
MIR4328	MIR4328	X	-	78901194	78901249	0.0	0.0	0.0	0.0	0.0
FCMR	FCMR	1	-	206903286	206922033	2.015905	1.515923	2.175118	1.079533	1.323312
SLAMF8	SLAMF8	1	+	159826689	159837492	0.000000	0.0	0.000000	0.0	0.000000
GAGE12F	GAGE12F	X	+	49341114	49577757	0	0.0	0.0	0.0	0.0
RAD51	RAD51	15	+	40695129	40732158	8.569006	6.149217	19.010860	13.071277	15.048723
BHLHE22	BHLHE22	8	+	64580238	64583634	0.150005	0.137375	0.551050	0.045981	0.0
HSPA14	HSPA14	10	+	14838160	14871741	176.821747	201.115768	175.983795	205.821945	186.045242
SLC5A6	SLC5A6	2	-	27199587	27212307	15.816644	12.782616	17.860306	20.483526	18.442871
IFRD1	IFRD1	7	+	112423144	112477203	45.276093	24.358011	57.672989	60.499306	59.563900
SLC14A2-AS1	SLC14A2-AS1	18	-	45438184	45507036	0.000000	0.000000	0.0	0.0	0.0
SNORD113-7	SNORD113-7	14	+	100941126	100941201	0.000000	0.0	0.000000	0.0	0.0
LCE2A	LCE2A	1	+	152698364	152699442	0.0	0.0	0.0	0.0	0.0
SEC24C	SEC24C	10	+	73744372	73772175	75.171494	89.942596	63.210312	80.618668	96.902519
TMEM254-AS1	TMEM254-AS1	10	-	80046233	80079193	2.260599	1.269723	1.727134	4.101833	2.553434
TXNRD3	TXNRD3	3	-	126607052	126655124	2.148580	5.691001	6.861251	3.397653	2.010496
FAM104B	FAM104B	X	-	55143102	55161195	22.331100	15.277544	27.902546	25.123224	28.931593
EPG5	EPG5	18	-	45847609	45967329	9.585379	6.871576	9.477313	9.603971	13.418496
ADK	ADK	10	+	74151185	74709303	29.057169	30.962626	42.622421	44.246914	44.493160
USP28	USP28	11	-	113797875	113875570	17.147461	12.102893	13.763369	16.267050	14.572318
SNORD114-7	SNORD114-7	14	+	100963054	100963129	0.000000	0.0	0.000000	0.0	0.0
APOBEC3G	APOBEC3G	22	+	39077005	39087743	0.000000	0.000000	0.202613	0.000000	0.000000
LINC02425	LINC02425	12	-	66027726	66031066	0.0	0.0	0.0	0.0	0.0
HAPLN3	HAPLN3	15	-	88877285	88895626	5.382764	4.549659	3.170591	3.750366	7.109099
C17orf75	C17orf75	17	-	32328441	32342209	6.709281	9.112485	13.547550	13.423314	8.248013
HNRNPA1P10	HNRNPA1P10	19	-	11665736	11667089	16.543915	7.165615	17.924847	21.725220	11.589213
LINC02231	LINC02231	12	-	64920845	64992291	0.000000	0.0	0.0	0.0	0.0
KRTAP10-3	KRTAP10-3	21	-	44558023	44558760	0.093228	0.000000	0.000000	0.000000	0.000000
FAM47C	FAM47C	X	+	37008359	37011666	0.133892	0.0	0.0	0.0	0.0
LOC157273	LOC157273	8	+	9325051	9335080	0.0	0.0	0.0	0.000000	0.0
DPP7	DPP7	9	-	137110540	137114743	13.639688	17.429398	14.419979	15.618054	14.754389
NTRK3	NTRK3	15	-	87876757	88256731	0.000000	0.0	0.737883	0.080600	0.000000
MRPL53	MRPL53	2	-	74471958	74472815	167.365387	265.545624	150.538696	126.950317	178.017761
TSPY1	TSPY1	Y	+	9337464	9469749	0.0	0.0	0.0	0.0	0.0
ABCC12	ABCC12	16	-	48082973	48146770	0.000000	0.0	0.0	0.0	0.000000
KIAA1586	KIAA1586	6	+	57046532	57055239	28.907316	43.932690	39.426620	36.460857	28.516048
ACTN1	ACTN1	14	-	68874123	68979366	72.182564	92.195717	69.053001	82.027817	77.064972
GKAP1	GKAP1	9	-	83739421	83817837	47.210461	42.593563	62.755474	49.865295	59.112457
TMPRSS6	TMPRSS6	22	-	37065436	37109563	3.111976	2.898992	3.598973	3.641381	4.164306
SGO2	SGO2	2	+	200526142	200584095	15.987085	13.960937	19.107811	24.177258	25.724396
PARD6B	PARD6B	20	+	50731544	50753741	5.543349	5.629398	8.168652	10.646399	8.309690
ARHGEF7-AS1	ARHGEF7-AS1	13	-	111144305	111148565	1.187233	0.000000	0.000000	0.000000	0.000000
EGFL8	EGFL8	6	+	32164605	32168285	0.000000	0.000000	0.633324	0.000000	2.587269
DDB2	DDB2	11	+	47214942	47239218	154.783096	115.472664	167.587357	147.353348	193.009705
C20orf202	C20orf202	20	+	1203454	1208274	0.0	0.0	1.271399	0.0	0.000000
MIR6513	MIR6513	2	-	218280125	218280188	0.016797	0.012464	0.022647	1.397084	0.004468
C11orf91	C11orf91	11	-	33698108	33700740	1.479411	0.0	0.000000	1.447424	3.554702
TOMM5	TOMM5	9	-	37588415	37592639	665.679565	914.798584	711.573975	662.518921	822.982117
VSIG10	VSIG10	12	-	118063593	118104005	18.823931	33.201824	18.469152	22.698021	26.331507
SCARNA8	SCARNA8	9	-	19063656	19063786	5.544442	10.914680	10.165255	6.189809	10.944324
SPATS2	SPATS2	12	+	49366905	49527426	24.058361	15.115951	28.846380	28.153862	28.562492
MIR362	MIR362	X	+	50008964	50009027	3.292289	0.000000	0.000000	0.000000	0.000000
MMP11	MMP11	22	+	23772819	23784316	0.863405	0.000000	1.264362	0.704996	0.507535
LINC00938	LINC00938	12	-	45725720	45727921	9.061131	14.803243	12.650687	16.397526	8.697607
LOC100505912	LOC100505912	4	-	22327366	22339666	0.0	0.0	1.479205	1.192513	0.0
SPART	SPART	13	-	36301638	36370180	20.155125	14.564831	20.300863	25.582064	21.200899
GTF2IP7	GTF2IP7	7	-	76092063	76108762	0.0	0.000000	0.000000	0.0	0.000000
MIR4772	MIR4772	2	+	102432289	102432366	0.0	0.0	0.0	0.000000	0.000000
HMG20A	HMG20A	15	+	77420651	77485603	11.145540	37.244190	53.096298	53.455769	12.724133
PDIA3P1	PDIA3P1	1	+	147177851	147179949	4.810760	5.917324	5.539094	9.733525	9.531918
BLOC1S3	BLOC1S3	19	+	45178745	45181801	11.655980	12.460116	11.146439	14.890992	11.883790
KIT	KIT	4	+	54657928	54740715	0.789452	0.184943	0.984514	1.475024	1.275803
TRIM53AP	TRIM53AP	11	+	89841997	90002508	0	0	0.0	0	0.0
LOC100506076	LOC100506076	2	-	97416067	97429244	7.307539	4.722918	10.855683	15.760075	25.110741
PWWP2B	PWWP2B	10	+	132397198	132417854	26.486095	24.211370	14.172979	16.715143	23.730532
SLC25A13	SLC25A13	7	-	96120220	96322147	22.563248	19.206747	29.963181	27.571814	27.576103
GSPT1	GSPT1	16	-	11868128	11916662	37.563412	59.859051	44.579849	62.232315	59.642719
SAG	SAG	2	+	233307663	233347055	0.0	0.0	0.000000	0.000000	0.000000
SNORD144	SNORD144	4	-	82898140	82898225	0.000000	0.000000	20.586721	2.283290	28.425476
MIR4784	MIR4784	2	-	131491160	131491236	10.568832	0.000000	0.000000	10.751277	7.132240
FBXL8	FBXL8	16	+	67159988	67164174	0.168350	2.352814	2.080865	3.715706	2.971026
PTPRN	PTPRN	2	-	219289623	219309573	0.0	0.126277	0.0	0.033075	0.078961
POT1	POT1	7	-	124822386	124929983	4.600983	5.520617	5.737548	7.380515	6.215265
EFNA3	EFNA3	1	+	155078872	155087538	8.085069	6.719272	5.744784	8.385896	10.472775
MIR5190	MIR5190	18	+	13459947	13460026	0.000000	0.000000	0.000000	0.278925	0.000000
MCC	MCC	5	-	113022099	113488453	7.470669	5.846901	7.229287	11.898435	8.931610
LINC01640	LINC01640	22	+	33108529	33116294	0.0	0.0	0.000000	0.0	0.0
FAM138F	FAM138F	9	-	34394	35864	0.0	0.0	0.0	0.000000	0.0
LOC105371267	LOC105371267	16	-	53035690	53052873	0.000000	0.000000	0.0	0.000000	0.0
SNX14	SNX14	6	-	85505497	85594156	8.268392	7.733335	9.848936	9.529185	6.143948
BRWD1-AS2	BRWD1-AS2	21	+	39313907	39314915	0.149162	0.0	0.000000	1.658620	1.011501
GOLGA8IP	GOLGA8IP	15	+	30604030	30611752	1.907385	1.487460	2.084753	2.466960	5.048378
AQP9	AQP9	15	+	58138169	58185911	0.0	0.0	0.0	0.0	0.0
KANSL1	KANSL1	17	-	46029916	46225374	29.880823	42.923763	34.216351	40.512630	49.294708
ZGPAT	ZGPAT	20	+	63707442	63736142	14.887652	8.495293	10.146214	12.322407	9.851649
MIR193BHG	MIR193BHG	16	+	14302288	14326517	0.532900	0.888831	0.0	0.219033	0.706641
LINC01688	LINC01688	1	+	182712862	182714541	0.0	0.0	0.0	0.0	0.0
MIR3612	MIR3612	12	+	128294092	128294178	0.0	0.0	0.000000	0.0	0.0
FBF1	FBF1	17	-	75909574	75938232	21.226158	19.280655	15.160142	21.495571	23.407152
NPIPB11	NPIPB11	16	-	29381318	29403802	9.740109	8.067293	8.782508	7.626059	10.099755
PPP6R2	PPP6R2	22	+	50343317	50445089	69.346840	47.013729	55.103661	65.144333	81.123672
TBX18-AS1	TBX18-AS1	6	+	84689458	84709534	0.856043	0.0	1.052976	0.354006	1.436092
OR6M1	OR6M1	11	-	123805408	123806349	0.0	0.0	0.0	0.0	0.0
NKAIN4	NKAIN4	20	-	63240784	63254540	0.000000	0.0	0.000000	0.0	0.000000
CYP1B1-AS1	CYP1B1-AS1	2	+	38131105	38181851	0.000000	2.311698	1.033110	0.0	0.000000
ZGRF1	ZGRF1	4	-	112539333	112636995	15.303205	14.466175	18.495745	20.285683	18.011414
CDH2	CDH2	18	-	27950963	28177130	47.554470	46.710835	51.807713	52.682148	40.803753
PYGO1	PYGO1	15	-	55538881	55588852	6.311359	5.455497	4.793099	5.200044	5.110114
CHCHD6	CHCHD6	3	+	126704220	126960420	54.517525	32.305710	31.229744	23.638037	28.379629
FKBP1B	FKBP1B	2	+	24049701	24063680	27.085449	41.872768	31.302467	24.617716	25.027777
TLR5	TLR5	1	-	223109406	223143282	1.519710	0.379510	0.657193	0.982087	1.007711
CLCF1	CLCF1	11	-	67364168	67374177	5.671332	1.091340	7.715272	5.764093	4.509218
RNU6-9	RNU6-9	7	-	123790607	123790711	0.0	0.0	0.0	0.0	0.0
SGF29	SGF29	16	+	28553928	28591790	46.396412	94.572159	57.533424	44.095291	69.351318
VGLL4	VGLL4	3	-	11556067	11720768	35.656261	29.017660	35.281605	29.497625	25.682100
USP46-AS1	USP46-AS1	4	+	52659406	52661498	2.502696	3.207224	1.789825	3.772789	0.000000
MIR429	MIR429	1	+	1169005	1169087	0.0	0.000000	0.0	0.0	0.0
NIPSNAP3A	NIPSNAP3A	9	+	104747568	104760124	20.665047	17.130508	25.960295	22.252951	16.599537
LOC105373311	LOC105373311	X	+	109732511	109734958	6.170129	7.186954	4.531536	4.620032	7.107385
HHLA1	HHLA1	8	-	132061486	132105265	0.0	0.0	0.0	0.0	0.0
LOC101927429	LOC101927429	1	+	144663837	144689892	0.000000	0.000000	0.000000	0.000000	0.038404
CRACR2A	CRACR2A	12	-	3615328	3753200	7.506208	1.994165	3.703331	6.034788	7.072242
LINC00852	LINC00852	3	+	10284419	10285746	15.743404	5.012766	10.701701	11.304849	18.067717
ODF2	ODF2	9	+	128455155	128501292	29.443119	15.650847	34.099575	28.562134	34.953571
SMA5	SMA5	5	-	70481043	70585722	8.424100	8.065955	12.708966	11.485402	11.453298
CALR	CALR	19	+	12938600	12944490	283.119537	235.349670	242.343338	257.367859	224.808456
MIR548AU	MIR548AU	2	-	107149665	107349525	0.0	0.0	0.0	0.0	0.0
NUDT7	NUDT7	16	+	77722492	77742260	2.457062	4.461517	6.120219	6.748230	3.139766
RNA28SN5	RNA28SN5	21	+	8441146	8446211	0.0	0.0	0.000000	0.000000	0.0
ZNHIT2	ZNHIT2	11	-	65116403	65117738	85.642151	94.157249	66.406799	65.708466	56.152168
FCHO1	FCHO1	19	+	17747718	17788568	4.128856	4.923523	3.610697	4.764225	4.417140
OR4X2	OR4X2	11	+	48245104	48246015	0.0	0.0	0.0	0.0	0.0
VPS13A	VPS13A	9	+	77177445	77417483	13.770940	12.952464	14.069193	18.595619	16.704338
CST6	CST6	11	+	66012008	66013505	0.000000	0.0	0.0	0.0	0.0
LINC01608	LINC01608	8	-	110937690	111027433	0.0	0.0	0.0	0.0	0.0
ANKRD9	ANKRD9	14	-	102503649	102509806	13.676310	11.951127	10.955009	8.043355	6.978528
MT1L	MT1L	16	+	56617461	56618818	0.0	0.0	0.0	0.0	0.0
TBC1D3I	TBC1D3I	17	-	37978155	37989048	0.000000	0.000000	0.000000	0.000000	0.000000
ZXDC	ZXDC	3	-	126437601	126475919	81.878571	88.741241	77.029701	92.927208	86.180573
BORCS7	BORCS7	10	+	102854210	102864961	33.418266	45.413628	33.229206	45.295216	37.532024
C4orf50	C4orf50	4	-	5957112	6018546	0.000000	0.0	0.0	0.0	0.000000
MIR4652	MIR4652	7	+	93716928	93717005	6.505328	8.999892	3.349446	14.675726	2.180779
SAMM50	SAMM50	22	+	43955381	43996532	124.039581	156.272720	107.947090	100.724503	150.619843
SALL3	SALL3	18	+	78980275	78998969	12.913954	11.864074	9.964911	12.008333	11.473810
TMEM121B	TMEM121B	22	-	17116299	17121367	1.259446	1.550191	1.407806	1.020004	1.684808
DDX53	DDX53	X	+	22999961	23002089	0.000000	0.0	0.275807	0.0	0.0
